ano,id_escola,ideb,ensino,rede,nota_saeb_matematica,nota_saeb_lingua_portuguesa
2019,35038167,,fundamental,estadual,,
2021,35038167,,fundamental,estadual,,
2017,35038179,,fundamental,estadual,,
2015,35038179,,fundamental,estadual,,
2021,35038180,,fundamental,estadual,,
2021,35038234,,medio,estadual,,
2023,35038234,,medio,estadual,,
2017,35038234,,fundamental,estadual,,
2017,35038258,,fundamental,estadual,,
2005,35038258,,fundamental,estadual,,
2005,35038261,,fundamental,estadual,,
2015,35038283,,fundamental,estadual,,
2019,35038283,,fundamental,estadual,,
2011,35038283,,fundamental,estadual,,
2017,35038295,,fundamental,estadual,,
2013,35038295,,fundamental,estadual,,
2021,35038301,,medio,estadual,,
2017,35038301,,medio,estadual,,
2019,35038301,,medio,estadual,,
2005,35038301,,fundamental,estadual,,
2005,35038313,,fundamental,estadual,,
2005,35039100,,fundamental,estadual,,
2017,35039123,,medio,estadual,,
2019,35039123,,medio,estadual,,
2005,35039147,,fundamental,estadual,,
2005,35039238,,fundamental,estadual,,
2023,35039248,,medio,estadual,,
2005,35039248,,fundamental,estadual,,
2017,35039251,,medio,estadual,,
2021,35039263,,fundamental,estadual,,
2005,35039275,,fundamental,estadual,,
2021,35039287,,medio,estadual,,
2023,35039299,,fundamental,estadual,,
2017,35039305,,fundamental,estadual,,
2005,35039317,,fundamental,estadual,,
2017,35039317,,fundamental,estadual,,
2021,35039342,,fundamental,estadual,,
2017,35039342,,medio,estadual,,
2021,35039366,,fundamental,estadual,,
2019,35039366,,medio,estadual,,
2005,35039391,,fundamental,estadual,,
2007,35040319,,fundamental,estadual,,
2005,35040320,,fundamental,estadual,,
2021,35040332,,medio,estadual,,
2023,35040332,,medio,estadual,,
2005,35040460,,fundamental,estadual,,
2015,35040964,,fundamental,estadual,,
2021,35040964,,medio,estadual,,
2019,35040976,,fundamental,estadual,,
2017,35040988,,fundamental,estadual,,
2005,35040988,,fundamental,estadual,,
2021,35040988,,medio,estadual,,
2023,35040988,,fundamental,estadual,,
2007,35040997,,fundamental,estadual,,
2023,35040997,,fundamental,estadual,,
2005,35040997,,fundamental,estadual,,
2017,35041002,,medio,estadual,,
2021,35041026,,medio,estadual,,
2017,35041026,,fundamental,estadual,,
2017,35041026,,medio,estadual,,
2015,35041038,,fundamental,estadual,,
2005,35041048,,fundamental,estadual,,
2023,35041048,,medio,estadual,,
2007,35041051,,fundamental,estadual,,
