"","id_escola","ano","idesp"
"616",35000848,2011,2.1
"617",35000848,2012,2.1
"618",35000848,2013,2.27
"619",35000848,2014,3.25
"620",35000848,2015,3.37
"621",35000848,2016,2.73
"622",35000848,2017,2.74
"623",35000848,2018,3.09
"624",35000848,2019,2.05
"625",35000875,2007,1.72
"626",35000875,2008,1.76
"627",35000875,2009,2.01
"628",35000875,2010,1.19
"629",35000875,2011,1.69
"630",35000875,2012,2.1
"631",35000875,2013,1.61
"632",35000875,2014,1.3
"633",35000875,2015,NA
"634",35000875,2016,1.49
"635",35000875,2017,2
"636",35000875,2018,2.35
"637",35000875,2019,2.17
"638",35000905,2007,1.06
"639",35000905,2008,2.22
"640",35000905,2009,1.69
"641",35000905,2010,2.62
"642",35000905,2011,2.33
"643",35000905,2012,1.82
"644",35000905,2013,1.05
"645",35000905,2014,1.82
"646",35000905,2015,2.11
"647",35000905,2016,2.25
"648",35000905,2017,1.99
"649",35000905,2018,3.49
"650",35000905,2019,2.01
"651",35000917,2007,2.22
"652",35000917,2008,2.1
"653",35000917,2009,3.17
"654",35000917,2010,1.85
"655",35000917,2011,2.26
"656",35000917,2012,2.53
"657",35000917,2013,2.28
"658",35000917,2014,2.75
"659",35000917,2015,3.29
"660",35000917,2016,2.52
"661",35000917,2017,2.67
"662",35000917,2018,2.7
"663",35000917,2019,2.58
"664",35000929,2007,2.23
"665",35000929,2008,2.2
"666",35000929,2009,2.61
"667",35000929,2010,1.82
"668",35000929,2011,2.82
"669",35000929,2012,2.42
"670",35000929,2013,2.2
"671",35000929,2014,3.02
"672",35000929,2015,2.89
"673",35000929,2016,3.08
"674",35000929,2017,3.69
"675",35000929,2018,3.67
"676",35000929,2019,3.7
"677",35000930,2007,1.4
"678",35000930,2008,2.03
"679",35000930,2009,1.85
"680",35000930,2010,2.2
"681",35000930,2011,1.6
"682",35000930,2012,2.18
"683",35000930,2013,1.8
"684",35000930,2014,1.44
"685",35000930,2015,2.54
"686",35000930,2016,2.56
"687",35000930,2017,2.3
"688",35000930,2018,2.72
"689",35000930,2019,3.49
"690",35000942,2007,1.94
"691",35000942,2008,2.18
"692",35000942,2009,2.05
"693",35000942,2010,2.51
"694",35000942,2011,2.25
"695",35000942,2012,1.84
"696",35000942,2013,1.12
"697",35000942,2014,1.74
"698",35000942,2015,2.19
"699",35000942,2016,3.88
"700",35000942,2017,3.57
"701",35000942,2018,3.52
"702",35000942,2019,3.19
"703",35000966,2007,1.39
"704",35000966,2008,2.1
"705",35000966,2009,2.34
"706",35000966,2010,1.76
"707",35000966,2011,2.37
"708",35000966,2012,2.18
"709",35000966,2013,1.68
"710",35000966,2014,2.01
"711",35000966,2015,2.36
"712",35000966,2016,2.16
"713",35000966,2017,1.99
"714",35000966,2018,2.5
"715",35000966,2019,1.91
"716",35000978,2007,1.43
"717",35000978,2008,1.42
"718",35000978,2009,1.83
"719",35000978,2010,1.92
"720",35000978,2011,1.96
"721",35000978,2012,1.54
"722",35000978,2013,1.52
"723",35000978,2014,2.01
"724",35000978,2015,3.1
"725",35000978,2016,4.33
"726",35000978,2017,3.5
"727",35000978,2018,3.79
"728",35000978,2019,3.95
"729",35001004,2007,1.28
"730",35001004,2008,1.35
"731",35001004,2009,1.23
"732",35001004,2010,1.32
"733",35001004,2011,0.97
"734",35001004,2012,2.08
"735",35001004,2013,1.37
"736",35001004,2014,1.41
"737",35001004,2015,2.48
"738",35001004,2016,3.2
"739",35001004,2017,2.77
"740",35001004,2018,2.35
"741",35001004,2019,1.95
"742",35001016,2007,1.09
"743",35001016,2008,1.87
"744",35001016,2009,1.96
"745",35001016,2010,1.87
"746",35001016,2011,1.76
"747",35001016,2012,1.73
"748",35001016,2013,1.83
"749",35001016,2014,1.59
"750",35001016,2015,1.67
"751",35001016,2016,1.9
"752",35001016,2017,2.19
"753",35001016,2018,2.22
"754",35001016,2019,2.01
"755",35001028,2007,0.68
"756",35001028,2008,1.57
"757",35001028,2009,1.67
"758",35001028,2010,1.44
"759",35001028,2011,1.36
"760",35001028,2012,1.08
"761",35001028,2013,1.29
"762",35001028,2014,0.9
"763",35001028,2015,1.45
"764",35001028,2016,1.6
"765",35001028,2017,1.58
"766",35001028,2018,1.81
"767",35001028,2019,1.43
"768",35001036,2007,1.04
"769",35001036,2008,1.78
"770",35001036,2009,1.84
"771",35001036,2010,1.61
"772",35001036,2011,1.46
"773",35001036,2012,1.6
"774",35001036,2013,0.99
"775",35001036,2014,1.69
"776",35001036,2015,1
"777",35001036,2016,1.79
"778",35001036,2017,2.86
"779",35001036,2018,2.58
"780",35001036,2019,1.97
"781",35001041,2007,0.96
"782",35001041,2008,1.72
"783",35001041,2009,2.24
"784",35001041,2010,1.83
"785",35001041,2011,1.4
"786",35001041,2012,1.68
"787",35001041,2013,1.63
"788",35001041,2014,1.07
"789",35001041,2015,1.71
"790",35001041,2016,1.94
"791",35001041,2017,1.86
"792",35001041,2018,1.87
"793",35001041,2019,1.84
"794",35001132,2007,1.49
"795",35001132,2008,2.36
"796",35001132,2009,2.33
"797",35001132,2010,2.62
"798",35001132,2011,2.99
"799",35001132,2012,2.15
"800",35001132,2013,2.32
"801",35001132,2014,1.83
"802",35001132,2015,1.89
"803",35001132,2016,1.58
"804",35001132,2017,2.33
"805",35001132,2018,2.36
"806",35001132,2019,2.15
"807",35001144,2007,2.12
"808",35001144,2008,2.07
"809",35001144,2009,2.11
